Opt. Const. of Cauchy Film vs. nm,,,
818.552551,1.450914,8.18553E-07,1.450914
820.126343,1.450888,8.20126E-07,1.450888
821.69989,1.450861,8.217E-07,1.450861
823.273315,1.450834,8.23273E-07,1.450834
824.846558,1.450808,8.24847E-07,1.450808
826.419617,1.450782,8.2642E-07,1.450782
827.992493,1.450756,8.27992E-07,1.450756
829.565247,1.45073,8.29565E-07,1.45073
831.137695,1.450704,8.31138E-07,1.450704
832.710083,1.450678,8.3271E-07,1.450678
834.282227,1.450653,8.34282E-07,1.450653
835.854187,1.450628,8.35854E-07,1.450628
837.426086,1.450602,8.37426E-07,1.450602
838.997681,1.450577,8.38998E-07,1.450577
840.569153,1.450552,8.40569E-07,1.450552
842.14032,1.450527,8.4214E-07,1.450527
843.711426,1.450503,8.43711E-07,1.450503
845.282349,1.450478,8.45282E-07,1.450478
846.853027,1.450454,8.46853E-07,1.450454
848.423523,1.45043,8.48424E-07,1.45043
849.993835,1.450405,8.49994E-07,1.450405
851.563965,1.450381,8.51564E-07,1.450381
853.133911,1.450357,8.53134E-07,1.450357
854.703735,1.450334,8.54704E-07,1.450334
856.273254,1.45031,8.56273E-07,1.45031
857.84259,1.450287,8.57843E-07,1.450287
859.411804,1.450263,8.59412E-07,1.450263
860.980774,1.45024,8.60981E-07,1.45024
862.549622,1.450217,8.6255E-07,1.450217
864.118164,1.450194,8.64118E-07,1.450194
865.686646,1.450171,8.65687E-07,1.450171
867.254761,1.450148,8.67255E-07,1.450148
868.822876,1.450126,8.68823E-07,1.450126
870.390625,1.450103,8.70391E-07,1.450103
871.958191,1.450081,8.71958E-07,1.450081
873.525696,1.450058,8.73526E-07,1.450058
875.092896,1.450036,8.75093E-07,1.450036
876.659851,1.450014,8.7666E-07,1.450014
878.226685,1.449992,8.78227E-07,1.449992
879.793335,1.44997,8.79793E-07,1.44997
881.359741,1.449949,8.8136E-07,1.449949
882.925964,1.449927,8.82926E-07,1.449927
884.491882,1.449906,8.84492E-07,1.449906
886.057739,1.449884,8.86058E-07,1.449884
887.623352,1.449863,8.87623E-07,1.449863
889.18866,1.449842,8.89189E-07,1.449842
890.753906,1.449821,8.90754E-07,1.449821
892.318848,1.4498,8.92319E-07,1.4498
893.883606,1.449779,8.93884E-07,1.449779
895.44812,1.449759,8.95448E-07,1.449759
897.012512,1.449738,8.97013E-07,1.449738
898.57666,1.449717,8.98577E-07,1.449717
900.140503,1.449697,9.00141E-07,1.449697
901.704285,1.449677,9.01704E-07,1.449677
903.267761,1.449657,9.03268E-07,1.449657
904.831055,1.449636,9.04831E-07,1.449636
906.394165,1.449617,9.06394E-07,1.449617
907.956909,1.449597,9.07957E-07,1.449597
909.519653,1.449577,9.0952E-07,1.449577
911.082031,1.449557,9.11082E-07,1.449557
912.644226,1.449538,9.12644E-07,1.449538
914.206177,1.449518,9.14206E-07,1.449518
915.767944,1.449499,9.15768E-07,1.449499
917.329468,1.44948,9.17329E-07,1.44948
918.890808,1.44946,9.18891E-07,1.44946
920.451965,1.449441,9.20452E-07,1.449441
922.012817,1.449422,9.22013E-07,1.449422
923.573425,1.449404,9.23573E-07,1.449404
925.133911,1.449385,9.25134E-07,1.449385
926.694031,1.449366,9.26694E-07,1.449366
928.254028,1.449347,9.28254E-07,1.449347
929.813782,1.449329,9.29814E-07,1.449329
931.373352,1.449311,9.31373E-07,1.449311
932.932617,1.449292,9.32933E-07,1.449292
934.491699,1.449274,9.34492E-07,1.449274
936.050598,1.449256,9.36051E-07,1.449256
937.609192,1.449238,9.37609E-07,1.449238
939.167603,1.44922,9.39168E-07,1.44922
940.725708,1.449202,9.40726E-07,1.449202
942.283569,1.449184,9.42284E-07,1.449184
943.841309,1.449166,9.43841E-07,1.449166
945.398743,1.449149,9.45399E-07,1.449149
946.955933,1.449131,9.46956E-07,1.449131
948.512878,1.449114,9.48513E-07,1.449114
950.069641,1.449097,9.5007E-07,1.449097
951.62616,1.449079,9.51626E-07,1.449079
953.182434,1.449062,9.53182E-07,1.449062
954.738464,1.449045,9.54738E-07,1.449045
956.29425,1.449028,9.56294E-07,1.449028
957.849792,1.449011,9.5785E-07,1.449011
959.405151,1.448994,9.59405E-07,1.448994
960.960266,1.448977,9.6096E-07,1.448977
962.515015,1.448961,9.62515E-07,1.448961
964.069641,1.448944,9.6407E-07,1.448944
965.624023,1.448928,9.65624E-07,1.448928
967.178101,1.448911,9.67178E-07,1.448911
968.731934,1.448895,9.68732E-07,1.448895
970.285522,1.448879,9.70286E-07,1.448879
971.838989,1.448862,9.71839E-07,1.448862
973.391968,1.448846,9.73392E-07,1.448846
974.944946,1.44883,9.74945E-07,1.44883
976.497559,1.448814,9.76498E-07,1.448814
978.049927,1.448798,9.7805E-07,1.448798
979.602051,1.448782,9.79602E-07,1.448782
981.153931,1.448767,9.81154E-07,1.448767
982.705444,1.448751,9.82705E-07,1.448751
984.256836,1.448735,9.84257E-07,1.448735
985.807983,1.44872,9.85808E-07,1.44872
987.358887,1.448704,9.87359E-07,1.448704
988.909485,1.448689,9.88909E-07,1.448689
990.459778,1.448674,9.9046E-07,1.448674
992.009888,1.448658,9.9201E-07,1.448658
993.559753,1.448643,9.9356E-07,1.448643
995.109253,1.448628,9.95109E-07,1.448628
996.658569,1.448613,9.96659E-07,1.448613
998.207703,1.448598,9.98208E-07,1.448598
999.75647,1.448583,9.99756E-07,1.448583
1011.723267,1.44847,1.01172E-06,1.44847
1015.185913,1.448439,1.01519E-06,1.448439
1018.648621,1.448407,1.01865E-06,1.448407
1022.111328,1.448376,1.02211E-06,1.448376
1025.573975,1.448345,1.02557E-06,1.448345
1029.036865,1.448314,1.02904E-06,1.448314
1032.499634,1.448284,1.0325E-06,1.448284
1035.962402,1.448254,1.03596E-06,1.448254
1039.425293,1.448224,1.03943E-06,1.448224
1042.888184,1.448194,1.04289E-06,1.448194
1046.351074,1.448165,1.04635E-06,1.448165
1049.813965,1.448136,1.04981E-06,1.448136
1053.276978,1.448107,1.05328E-06,1.448107
1056.739868,1.448079,1.05674E-06,1.448079
1060.202881,1.448051,1.0602E-06,1.448051
1063.665771,1.448023,1.06367E-06,1.448023
1067.128662,1.447996,1.06713E-06,1.447996
1070.591675,1.447968,1.07059E-06,1.447968
1074.054688,1.447941,1.07405E-06,1.447941
1077.5177,1.447914,1.07752E-06,1.447914
1080.980591,1.447888,1.08098E-06,1.447888
1084.443604,1.447862,1.08444E-06,1.447862
1087.906494,1.447835,1.08791E-06,1.447835
1091.369507,1.44781,1.09137E-06,1.44781
1094.832397,1.447784,1.09483E-06,1.447784
1098.295288,1.447759,1.0983E-06,1.447759
1101.758301,1.447734,1.10176E-06,1.447734
1105.221191,1.447709,1.10522E-06,1.447709
1108.684082,1.447684,1.10868E-06,1.447684
1112.146851,1.44766,1.11215E-06,1.44766
1115.609741,1.447635,1.11561E-06,1.447635
1119.07251,1.447611,1.11907E-06,1.447611
1122.535278,1.447588,1.12254E-06,1.447588
1125.998047,1.447564,1.126E-06,1.447564
1129.460693,1.447541,1.12946E-06,1.447541
1132.923462,1.447518,1.13292E-06,1.447518
1136.385986,1.447495,1.13639E-06,1.447495
1139.848633,1.447472,1.13985E-06,1.447472
1143.311279,1.447449,1.14331E-06,1.447449
1146.773682,1.447427,1.14677E-06,1.447427
1150.236206,1.447405,1.15024E-06,1.447405
1153.698608,1.447383,1.1537E-06,1.447383
1157.160889,1.447361,1.15716E-06,1.447361
1160.623291,1.44734,1.16062E-06,1.44734
1164.085571,1.447318,1.16409E-06,1.447318
1167.547729,1.447297,1.16755E-06,1.447297
1171.009888,1.447276,1.17101E-06,1.447276
1174.471924,1.447255,1.17447E-06,1.447255
1177.93396,1.447235,1.17793E-06,1.447235
1181.395996,1.447214,1.1814E-06,1.447214
1184.857788,1.447194,1.18486E-06,1.447194
1188.31958,1.447174,1.18832E-06,1.447174
1191.781372,1.447154,1.19178E-06,1.447154
1195.243042,1.447134,1.19524E-06,1.447134
1198.704712,1.447114,1.1987E-06,1.447114
1202.166138,1.447095,1.20217E-06,1.447095
1205.627563,1.447076,1.20563E-06,1.447076
1209.088989,1.447057,1.20909E-06,1.447057
1212.550171,1.447038,1.21255E-06,1.447038
1216.011353,1.447019,1.21601E-06,1.447019
1219.472412,1.447,1.21947E-06,1.447
1222.93335,1.446982,1.22293E-06,1.446982
1226.394287,1.446963,1.22639E-06,1.446963
1229.855225,1.446945,1.22986E-06,1.446945
1233.315796,1.446927,1.23332E-06,1.446927
1236.776489,1.446909,1.23678E-06,1.446909
1240.236938,1.446892,1.24024E-06,1.446892
1243.697266,1.446874,1.2437E-06,1.446874
1247.157593,1.446857,1.24716E-06,1.446857
1250.617798,1.446839,1.25062E-06,1.446839
1254.077881,1.446822,1.25408E-06,1.446822
1257.537842,1.446805,1.25754E-06,1.446805
1260.997559,1.446788,1.261E-06,1.446788
1264.457275,1.446772,1.26446E-06,1.446772
1267.91687,1.446755,1.26792E-06,1.446755
1271.376343,1.446738,1.27138E-06,1.446738
1274.835693,1.446722,1.27484E-06,1.446722
1278.294922,1.446706,1.27829E-06,1.446706
1281.754028,1.44669,1.28175E-06,1.44669
1285.213013,1.446674,1.28521E-06,1.446674
1288.671753,1.446658,1.28867E-06,1.446658
1292.130493,1.446642,1.29213E-06,1.446642
1295.588989,1.446627,1.29559E-06,1.446627
1299.047363,1.446611,1.29905E-06,1.446611
1302.505615,1.446596,1.30251E-06,1.446596
1305.963745,1.446581,1.30596E-06,1.446581
1309.421753,1.446566,1.30942E-06,1.446566
1312.879639,1.446551,1.31288E-06,1.446551
1316.337158,1.446536,1.31634E-06,1.446536
1319.794678,1.446521,1.31979E-06,1.446521
1323.252075,1.446507,1.32325E-06,1.446507
1326.709229,1.446492,1.32671E-06,1.446492
1330.16626,1.446478,1.33017E-06,1.446478
1333.623291,1.446463,1.33362E-06,1.446463
1337.079834,1.446449,1.33708E-06,1.446449
1340.536377,1.446435,1.34054E-06,1.446435
1343.99292,1.446421,1.34399E-06,1.446421
1347.448975,1.446407,1.34745E-06,1.446407
1350.905029,1.446393,1.35091E-06,1.446393
1354.360962,1.44638,1.35436E-06,1.44638
1357.81665,1.446366,1.35782E-06,1.446366
1361.272095,1.446353,1.36127E-06,1.446353
1364.727295,1.446339,1.36473E-06,1.446339
1368.182495,1.446326,1.36818E-06,1.446326
1371.637451,1.446313,1.37164E-06,1.446313
1375.092163,1.4463,1.37509E-06,1.4463
1378.546753,1.446287,1.37855E-06,1.446287
1382.001221,1.446274,1.382E-06,1.446274
1385.455322,1.446262,1.38546E-06,1.446262
1388.909302,1.446249,1.38891E-06,1.446249
1392.363037,1.446236,1.39236E-06,1.446236
1395.81665,1.446224,1.39582E-06,1.446224
1399.27002,1.446211,1.39927E-06,1.446211
1402.723145,1.446199,1.40272E-06,1.446199
1406.176025,1.446187,1.40618E-06,1.446187
1409.628784,1.446175,1.40963E-06,1.446175
1413.081299,1.446163,1.41308E-06,1.446163
1416.533691,1.446151,1.41653E-06,1.446151
1419.985718,1.446139,1.41999E-06,1.446139
1423.437622,1.446127,1.42344E-06,1.446127
1426.889282,1.446116,1.42689E-06,1.446116
1430.340698,1.446104,1.43034E-06,1.446104
1433.79187,1.446092,1.43379E-06,1.446092
1437.24292,1.446081,1.43724E-06,1.446081
1440.693604,1.44607,1.44069E-06,1.44607
1444.144165,1.446058,1.44414E-06,1.446058
1447.594482,1.446047,1.44759E-06,1.446047
1451.044434,1.446036,1.45104E-06,1.446036
1454.494263,1.446025,1.45449E-06,1.446025
1457.943726,1.446014,1.45794E-06,1.446014
1461.393066,1.446003,1.46139E-06,1.446003
1464.842163,1.445992,1.46484E-06,1.445992
1468.291016,1.445982,1.46829E-06,1.445982
1471.739502,1.445971,1.47174E-06,1.445971
1475.187866,1.445961,1.47519E-06,1.445961
1478.635986,1.44595,1.47864E-06,1.44595
1482.08374,1.44594,1.48208E-06,1.44594
1485.53125,1.445929,1.48553E-06,1.445929
1488.978516,1.445919,1.48898E-06,1.445919
1492.425537,1.445909,1.49243E-06,1.445909
1495.872314,1.445899,1.49587E-06,1.445899
1499.318726,1.445888,1.49932E-06,1.445888
1502.764893,1.445879,1.50276E-06,1.445879
1506.210938,1.445868,1.50621E-06,1.445868
1509.656494,1.445859,1.50966E-06,1.445859
1513.101929,1.445849,1.5131E-06,1.445849
1516.547119,1.445839,1.51655E-06,1.445839
1519.991943,1.445829,1.51999E-06,1.445829
1523.436401,1.44582,1.52344E-06,1.44582
1526.880615,1.44581,1.52688E-06,1.44581
1530.324585,1.445801,1.53032E-06,1.445801
1533.768311,1.445791,1.53377E-06,1.445791
1537.21167,1.445782,1.53721E-06,1.445782
1540.654785,1.445773,1.54065E-06,1.445773
1544.097534,1.445764,1.5441E-06,1.445764
1547.540039,1.445754,1.54754E-06,1.445754
1550.982178,1.445745,1.55098E-06,1.445745
1554.424072,1.445736,1.55442E-06,1.445736
1557.865723,1.445727,1.55787E-06,1.445727
1561.307007,1.445718,1.56131E-06,1.445718
1564.747925,1.445709,1.56475E-06,1.445709
1568.188721,1.445701,1.56819E-06,1.445701
1571.629028,1.445692,1.57163E-06,1.445692
1575.06897,1.445683,1.57507E-06,1.445683
1578.508667,1.445675,1.57851E-06,1.445675
1581.947998,1.445666,1.58195E-06,1.445666
1585.387085,1.445657,1.58539E-06,1.445657
1588.825928,1.445649,1.58883E-06,1.445649
1592.264282,1.445641,1.59226E-06,1.445641
1595.702393,1.445632,1.5957E-06,1.445632
1599.140137,1.445624,1.59914E-06,1.445624
1602.577515,1.445616,1.60258E-06,1.445616
1606.014526,1.445608,1.60601E-06,1.445608
1609.451294,1.445599,1.60945E-06,1.445599
1612.887695,1.445591,1.61289E-06,1.445591
1616.32373,1.445583,1.61632E-06,1.445583
1619.759521,1.445575,1.61976E-06,1.445575
1623.194824,1.445567,1.62319E-06,1.445567
1626.629761,1.44556,1.62663E-06,1.44556
1630.064453,1.445552,1.63006E-06,1.445552
1633.498779,1.445544,1.6335E-06,1.445544
1636.932739,1.445536,1.63693E-06,1.445536
1640.366455,1.445529,1.64037E-06,1.445529
1643.799561,1.445521,1.6438E-06,1.445521
1647.232422,1.445513,1.64723E-06,1.445513
1650.664795,1.445506,1.65066E-06,1.445506
1654.097046,1.445498,1.6541E-06,1.445498
1657.528687,1.445491,1.65753E-06,1.445491
1660.960205,1.445483,1.66096E-06,1.445483
1664.391235,1.445476,1.66439E-06,1.445476
1667.821899,1.445469,1.66782E-06,1.445469
1671.252197,1.445461,1.67125E-06,1.445461
1674.682007,1.445454,1.67468E-06,1.445454
1678.111572,1.445447,1.67811E-06,1.445447
1681.540649,1.44544,1.68154E-06,1.44544
1684.96936,1.445433,1.68497E-06,1.445433
1688.397705,1.445426,1.6884E-06,1.445426
